# SignalP-6.0	Organism: Other	Timestamp: 20240329003430
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Tat/SPII)	PILIN(Sec/SPIII)	CS Position
H_sitiens_OTU7_sp__2895_scaffold29,42276,f32Z42276_1_25408_26226___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__2967_scaffold31,40712,f28Z40712_1_39495_40478___gene_type_archaea	OTHER	0.999989	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__3118_scaffold27,47189,f15Z47189_1_34307_36397___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__3125_scaffold27,47189,f15Z47189_1_43152_43454___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__3441_scaffold298,642,f468Z642_1_scaffold732,86,f793Z86_1_1_480_-_gene_type_archaea_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU7_sp__3443_scaffold298,642,f468Z642_1_scaffold732,86,f793Z86_1_916_1695_-_gene_type_bacteria	OTHER	0.999989	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__97_DKIB01000101.1_31356_31802___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__101_DKIB01000101.1_35787_36986___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__102_DKIB01000101.1_37161_38348___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__178_DKIB01000006.1_18910_20754_-_gene_type_bacteria	SP	0.004862	0.987061	0.002701	0.002033	0.001863	0.001482	CS pos: 24-25. Pr: 0.9472
GCA_002454015_OTU9_sp__187_DKIB01000006.1_26137_26520___gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__188_DKIB01000006.1_26586_27065___gene_type_bacteria_partial_11	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__299_DKIB01000068.1_8884_10731_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__414_DKIB01000098.1_6627_8288_-_gene_type_bacteria	SP	0.002272	0.997036	0.000210	0.000199	0.000152	0.000156	CS pos: 38-39. Pr: 0.9732
GCA_002454015_OTU9_sp__464_DKIB01000110.1_6586_7788___gene_type_bacteria	SP	0.000249	0.999037	0.000201	0.000207	0.000159	0.000161	CS pos: 28-29. Pr: 0.9736
GCA_002454015_OTU9_sp__520_DKIB01000015.1_1518_2687_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 17-18. Pr: 0.9965
GCA_002454015_OTU9_sp__521_DKIB01000015.1_2684_3415_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__524_DKIB01000015.1_5689_6483_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9981
GCA_002454015_OTU9_sp__533_DKIB01000096.1_1163_1600___gene_type_bacteria	SP	0.167043	0.831533	0.000478	0.000391	0.000304	0.000271	CS pos: 28-29. Pr: 0.7712
GCA_002454015_OTU9_sp__568_DKIB01000012.1_122_3112_-_gene_type_bacteria	OTHER	0.999989	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__606_DKIB01000065.1_993_3452___gene_type_archaea	SP	0.000254	0.832476	0.166876	0.000147	0.000130	0.000125	CS pos: 22-23. Pr: 0.7843
GCA_002454015_OTU9_sp__640_DKIB01000109.1_1_819___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__857_DKIB01000024.1_17498_18265_-_gene_type_bacteria_partial_11	SP	0.000484	0.998478	0.000338	0.000275	0.000212	0.000211	CS pos: 21-22. Pr: 0.9710
GCA_002454015_OTU9_sp__1003_DKIB01000084.1_3_4355_-_gene_type_bacteria_partial_11	OTHER	0.999988	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_002454015_OTU9_sp__1171_DKIB01000001.1_2575_3090___gene_type_bacteria	SP	0.000276	0.998962	0.000211	0.000214	0.000165	0.000171	CS pos: 22-23. Pr: 0.9762
GCA_002454015_OTU9_sp__1323_DKIB01000002.1_295_1818___gene_type_bacteria	SP	0.000235	0.999110	0.000186	0.000183	0.000143	0.000138	CS pos: 21-22. Pr: 0.9750
H_sitiens_OTU9_sp__32_scaffold76,3615,f84Z3615_1_2536_3615_-_gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU9_sp__38_scaffold8,36742,f16Z36742_1_4103_4843___gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 18-19. Pr: 0.9967
H_sitiens_OTU9_sp__241_scaffold68,4522,f36Z4522_1_2_526_-_gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU9_sp__242_scaffold68,4522,f36Z4522_1_608_961_-_gene_type_archaea	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU9_sp__243_scaffold68,4522,f36Z4522_1_1131_1877_-_gene_type_archaea	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU9_sp__300_scaffold2,54495,f3Z54495_1_18417_19619_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU9_sp__527_scaffold49,7132,f26Z7132_1_4821_5969_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 15-16. Pr: 0.9968
H_sitiens_OTU9_sp__528_scaffold49,7132,f26Z7132_1_5966_6628_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU9_sp__546_scaffold52,6290,f73Z6290_1_372_2135_-_gene_type_bacteria	SP	0.166969	0.832386	0.000173	0.000190	0.000148	0.000144	CS pos: 12-13. Pr: 0.8089
H_sitiens_OTU9_sp__608_scaffold36,11639,f14Z11639_1_3983_5821___gene_type_bacteria	SP	0.000179	0.999191	0.000158	0.000182	0.000154	0.000152	CS pos: 23-24. Pr: 0.9789
H_sitiens_OTU9_sp__645_scaffold40,10151,f17Z10151_1_6304_8007_-_gene_type_bacteria	SP	0.000218	0.999022	0.000183	0.000214	0.000181	0.000191	CS pos: 23-24. Pr: 0.9801
H_sitiens_OTU9_sp__646_scaffold40,10151,f17Z10151_1_8158_9036___gene_type_bacteria	LIPO	0.000251	0.499109	0.500274	0.000141	0.000149	0.000112	CS pos: 20-21. Pr: 0.4913
H_sitiens_OTU9_sp__648_scaffold38,11208,f13Z11208_1_418_4890_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU9_sp__657_scaffold33,12001,f87Z12001_1_2928_4160_-_gene_type_bacteria	SP	0.000480	0.998480	0.000319	0.000285	0.000237	0.000214	CS pos: 32-33. Pr: 0.9761
H_sitiens_OTU9_sp__695_scaffold30,12708,f19Z12708_1_3_4688_-_gene_type_bacteria_partial_10	SP	0.000253	0.832335	0.166866	0.000217	0.000177	0.000170	CS pos: 31-32. Pr: 0.8063
H_sitiens_OTU9_sp__767_scaffold25,14430,f22Z14430_1_6965_8371_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU9_sp__853_scaffold19,17002,f93Z17002_1_1974_2738_-_gene_type_bacteria	SP	0.000432	0.998453	0.000309	0.000332	0.000250	0.000221	CS pos: 26-27. Pr: 0.9685
H_sitiens_OTU9_sp__898_scaffold16,21870,f23Z21870_1_6535_7224_-_gene_type_bacteria	SP	0.000327	0.998775	0.000261	0.000245	0.000197	0.000188	CS pos: 30-31. Pr: 0.9751
H_sitiens_OTU9_sp__921_scaffold17,20080,f69Z20080_1_6392_7465_-_gene_type_bacteria	SP	0.000269	0.998964	0.000248	0.000209	0.000163	0.000167	CS pos: 22-23. Pr: 0.9788
H_sitiens_OTU9_sp__960_scaffold102,2432,f40Z2432_1_1_555___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU9_sp__961_scaffold102,2432,f40Z2432_1_790_1248_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H_sitiens_OTU9_sp__976_scaffold12,26046,f7Z26046_1_7195_8286___gene_type_bacteria	SP	0.052318	0.946931	0.000229	0.000198	0.000174	0.000166	CS pos: 47-48. Pr: 0.9204
H_sitiens_OTU9_sp__1084_scaffold99,2525,f79Z2525_1_scaffold63,4869,f82Z4869_1_rc_4602_8798___gene_type_bacteria_partial_01	SP	0.000189	0.832559	0.166830	0.000154	0.000131	0.000124	CS pos: 27-28. Pr: 0.7829
H_sitiens_OTU9_sp__1136_scaffold4,46278,f8Z46278_1_scaffold34,11931,f31Z11931_1_rc_2779_3243_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 17-18. Pr: 0.9973
GCA_024638545_OTU3_fl__60_JAHEKD010000344.1_1440_2306___gene_type_bacteria	SP	0.000669	0.998222	0.000379	0.000293	0.000241	0.000219	CS pos: 31-32. Pr: 0.9770
GCA_024638545_OTU3_fl__62_JAHEKD010000344.1_3065_4072_-_gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_024638545_OTU3_fl__68_JAHEKD010000006.1_4852_5520_-_gene_type_bacteria	LIPO	0.000041	0.007960	0.992008	0.000001	0.000000	0.000000	CS pos: 31-32. Pr: 0.9958
GCA_024638545_OTU3_fl__150_JAHEKD010000357.1_239_1396_-_gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9976
GCA_024638545_OTU3_fl__151_JAHEKD010000357.1_1393_1872_-_gene_type_bacteria	OTHER	0.999981	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_024638545_OTU3_fl__152_JAHEKD010000357.1_1794_2000_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_024638545_OTU3_fl__352_JAHEKD010000394.1_287_1966___gene_type_bacteria	SP	0.000207	0.999241	0.000160	0.000163	0.000133	0.000123	CS pos: 19-20. Pr: 0.9846
GCA_024638545_OTU3_fl__698_JAHEKD010000451.1_1628_2413___gene_type_bacteria	SP	0.000233	0.832547	0.166840	0.000158	0.000128	0.000123	CS pos: 34-35. Pr: 0.8160
GCA_024638545_OTU3_fl__1198_JAHEKD010000037.1_8972_10309_-_gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_024638545_OTU3_fl__1203_JAHEKD010000531.1_734_1591___gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9978
GCA_024638545_OTU3_fl__1581_JAHEKD010000072.1_53_601_-_gene_type_bacteria	SP	0.000904	0.998057	0.000480	0.000225	0.000180	0.000167	CS pos: 35-36. Pr: 0.9750
GCA_024638545_OTU3_fl__1591_JAHEKD010000073.1_1501_3249___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_024638545_OTU3_fl__1643_JAHEKD010000080.1_2_640___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_024638545_OTU3_fl__1675_JAHEKD010000083.1_4168_4731_-_gene_type_bacteria	SP	0.000275	0.999013	0.000219	0.000189	0.000152	0.000145	CS pos: 25-26. Pr: 0.9796
GCA_024638545_OTU3_fl__1704_JAHEKD010000086.1_7309_7866_-_gene_type_bacteria	SP	0.000276	0.998901	0.000253	0.000232	0.000180	0.000190	CS pos: 25-26. Pr: 0.9597
GCA_024638545_OTU3_fl__2168_JAHEKD010000146.1_3_977_-_gene_type_bacteria_partial_10	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9948
GCA_024638545_OTU3_fl__2441_JAHEKD010000190.1_4424_5257_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_024638545_OTU3_fl__2481_JAHEKD010000197.1_4640_5581_-_gene_type_bacteria_partial_01	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_024638545_OTU3_fl__2628_JAHEKD010000225.1_1088_1552_-_gene_type_bacteria	SP	0.000159	0.666111	0.333463	0.000094	0.000090	0.000085	CS pos: 22-23. Pr: 0.6456
GCA_024638545_OTU3_fl__2727_JAHEKD010000237.1_4577_5062_-_gene_type_bacteria_partial_01	OTHER	0.999998	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_024638545_OTU3_fl__2858_JAHEKD010000263.1_3_1130_-_gene_type_bacteria_partial_10	SP	0.458403	0.540667	0.000529	0.000160	0.000120	0.000101	CS pos: 52-53. Pr: 0.5173
GCA_024638545_OTU3_fl__3184_JAHEKD010000316.1_2939_3490___gene_type_bacteria	SP	0.000223	0.999124	0.000186	0.000184	0.000153	0.000146	CS pos: 21-22. Pr: 0.9797
GCA_024638545_OTU3_fl__3259_JAHEKD010000330.1_2_631___gene_type_bacteria_partial_10	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__22_JAHRAH010000039.1_1912_4281_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__136_JAHRAH010000104.1_17809_18987_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__191_JAHRAH010000035.1_11430_13058___gene_type_bacteria	SP	0.000262	0.998985	0.000218	0.000206	0.000166	0.000160	CS pos: 24-25. Pr: 0.9779
GCA_020027345_OTU1_fl__205_JAHRAH010000101.1_3_3911___gene_type_bacteria_partial_11	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__235_JAHRAH010000120.1_27949_29379___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__325_JAHRAH010000097.1_19778_21307_-_gene_type_bacteria	SP	0.000197	0.999174	0.000171	0.000184	0.000145	0.000140	CS pos: 35-36. Pr: 0.9688
GCA_020027345_OTU1_fl__358_JAHRAH010000049.1_32943_33527_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__363_JAHRAH010000052.1_624_1211_-_gene_type_bacteria	SP	0.000259	0.999074	0.000197	0.000188	0.000153	0.000143	CS pos: 23-24. Pr: 0.9720
GCA_020027345_OTU1_fl__380_JAHRAH010000107.1_1287_1940___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__422_JAHRAH010000136.1_14663_15715_-_gene_type_bacteria	SP	0.166590	0.832442	0.000479	0.000192	0.000160	0.000140	CS pos: 58-59. Pr: 0.7488
GCA_020027345_OTU1_fl__444_JAHRAH010000168.1_14024_15679_-_gene_type_bacteria	SP	0.000187	0.666115	0.333450	0.000102	0.000084	0.000079	CS pos: 27-28. Pr: 0.6526
GCA_020027345_OTU1_fl__472_JAHRAH010000072.1_8762_9616___gene_type_bacteria	OTHER	0.667629	0.165077	0.166854	0.000212	0.000145	0.000119	
GCA_020027345_OTU1_fl__473_JAHRAH010000072.1_9568_10596___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__480_JAHRAH010000072.1_18641_19912_-_gene_type_bacteria	SP	0.000185	0.999231	0.000157	0.000169	0.000137	0.000130	CS pos: 35-36. Pr: 0.9749
GCA_020027345_OTU1_fl__493_JAHRAH010000090.1_4070_4807___gene_type_bacteria	SP	0.000184	0.999243	0.000155	0.000170	0.000133	0.000134	CS pos: 27-28. Pr: 0.9766
GCA_020027345_OTU1_fl__494_JAHRAH010000090.1_4939_5829___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__495_JAHRAH010000090.1_5873_6445___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__497_JAHRAH010000090.1_6821_11818___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__619_JAHRAH010000007.1_6986_8530___gene_type_bacteria	SP	0.000206	0.999183	0.000177	0.000175	0.000143	0.000135	CS pos: 34-35. Pr: 0.9348
GCA_020027345_OTU1_fl__620_JAHRAH010000007.1_8554_9144___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__647_JAHRAH010000099.1_3452_5935___gene_type_bacteria	OTHER	0.833523	0.165912	0.000157	0.000202	0.000102	0.000088	
GCA_020027345_OTU1_fl__799_JAHRAH010000043.1_10656_11954_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__800_JAHRAH010000043.1_11905_12504_-_gene_type_bacteria	SP	0.000305	0.832354	0.166871	0.000194	0.000155	0.000135	CS pos: 25-26. Pr: 0.8069
GCA_020027345_OTU1_fl__892_JAHRAH010000021.1_2081_4639_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__908_JAHRAH010000024.1_11279_15058_-_gene_type_bacteria	SP	0.000181	0.999212	0.000161	0.000170	0.000136	0.000134	CS pos: 29-30. Pr: 0.9424
GCA_020027345_OTU1_fl__929_JAHRAH010000146.1_2498_3580___gene_type_bacteria	SP	0.000193	0.999206	0.000161	0.000176	0.000139	0.000138	CS pos: 27-28. Pr: 0.9777
GCA_020027345_OTU1_fl__967_JAHRAH010000080.1_3083_3589_-_gene_type_bacteria	SP	0.000417	0.998736	0.000243	0.000247	0.000190	0.000166	CS pos: 32-33. Pr: 0.9755
GCA_020027345_OTU1_fl__969_JAHRAH010000080.1_4249_5661___gene_type_bacteria	SP	0.000218	0.999058	0.000186	0.000207	0.000163	0.000159	CS pos: 43-44. Pr: 0.6237
GCA_020027345_OTU1_fl__970_JAHRAH010000080.1_6061_6639_-_gene_type_bacteria	SP	0.000646	0.998265	0.000342	0.000299	0.000234	0.000219	CS pos: 23-24. Pr: 0.9806
GCA_020027345_OTU1_fl__995_JAHRAH010000098.1_14806_16293___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1031_JAHRAH010000063.1_2501_4261_-_gene_type_bacteria	SP	0.000167	0.999304	0.000147	0.000155	0.000125	0.000124	CS pos: 25-26. Pr: 0.9793
GCA_020027345_OTU1_fl__1136_JAHRAH010000042.1_7702_8175___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1159_JAHRAH010000143.1_352_3378___gene_type_bacteria	SP	0.000361	0.998866	0.000213	0.000221	0.000173	0.000164	CS pos: 27-28. Pr: 0.9426
GCA_020027345_OTU1_fl__1160_JAHRAH010000143.1_3351_6326___gene_type_bacteria	SP	0.001105	0.997677	0.000341	0.000328	0.000286	0.000246	CS pos: 41-42. Pr: 0.9492
GCA_020027345_OTU1_fl__1228_JAHRAH010000171.1_5989_6825_-_gene_type_bacteria	SP	0.000389	0.998798	0.000236	0.000216	0.000179	0.000168	CS pos: 22-23. Pr: 0.9810
GCA_020027345_OTU1_fl__1246_JAHRAH010000171.1_23714_24913___gene_type_bacteria	SP	0.000295	0.998966	0.000213	0.000204	0.000167	0.000157	CS pos: 22-23. Pr: 0.9772
GCA_020027345_OTU1_fl__1247_JAHRAH010000171.1_24947_25645___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1257_JAHRAH010000187.1_7473_7946_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1289_JAHRAH010000012.1_2118_3515_-_gene_type_bacteria	SP	0.000180	0.999262	0.000156	0.000165	0.000136	0.000131	CS pos: 26-27. Pr: 0.9783
GCA_020027345_OTU1_fl__1290_JAHRAH010000012.1_3535_5118_-_gene_type_bacteria	OTHER	0.833438	0.166218	0.000102	0.000081	0.000080	0.000071	
GCA_020027345_OTU1_fl__1292_JAHRAH010000012.1_5691_6320_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1312_JAHRAH010000160.1_6806_8215___gene_type_bacteria	LIPO	0.000091	0.499639	0.500079	0.000072	0.000066	0.000064	CS pos: 18-19. Pr: 0.4870
GCA_020027345_OTU1_fl__1369_JAHRAH010000037.1_8246_9463_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1382_JAHRAH010000074.1_3683_4819___gene_type_bacteria	SP	0.000232	0.999126	0.000182	0.000177	0.000147	0.000145	CS pos: 22-23. Pr: 0.6097
GCA_020027345_OTU1_fl__1383_JAHRAH010000074.1_4838_5524___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1388_JAHRAH010000081.1_2621_3472___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1393_JAHRAH010000086.1_2595_3926_-_gene_type_bacteria	SP	0.010267	0.964091	0.024823	0.000503	0.000166	0.000167	CS pos: 55-56. Pr: 0.9646
GCA_020027345_OTU1_fl__1469_JAHRAH010000044.1_1598_3010_-_gene_type_bacteria	SP	0.134459	0.667103	0.198199	0.000089	0.000080	0.000081	CS pos: 45-46. Pr: 0.5927
GCA_020027345_OTU1_fl__1479_JAHRAH010000114.1_700_1932_-_gene_type_bacteria	SP	0.103740	0.728694	0.166992	0.000232	0.000190	0.000165	CS pos: 39-40. Pr: 0.7105
GCA_020027345_OTU1_fl__1488_JAHRAH010000116.1_383_1159_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1520_JAHRAH010000149.1_418_1218___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1528_JAHRAH010000156.1_3734_5155___gene_type_bacteria_partial_01	OTHER	0.999673	0.000310	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1589_JAHRAH010000064.1_2245_4092_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1724_JAHRAH010000154.1_30274_31440_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1860_JAHRAH010000105.1_17102_25129_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1861_JAHRAH010000105.1_26329_29031___gene_type_bacteria	SP	0.000168	0.999279	0.000146	0.000162	0.000126	0.000131	CS pos: 27-28. Pr: 0.9785
GCA_020027345_OTU1_fl__1961_JAHRAH010000008.1_11206_14346___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__1966_JAHRAH010000009.1_6035_7057___gene_type_bacteria	SP	0.000189	0.999214	0.000163	0.000177	0.000140	0.000136	CS pos: 29-30. Pr: 0.9775
GCA_020027345_OTU1_fl__2026_JAHRAH010000062.1_1027_2739_-_gene_type_bacteria	SP	0.000406	0.998811	0.000231	0.000215	0.000180	0.000164	CS pos: 19-20. Pr: 0.9827
GCA_020027345_OTU1_fl__2055_JAHRAH010000109.1_1118_4054___gene_type_bacteria_partial_01	OTHER	0.519795	0.479588	0.000188	0.000162	0.000137	0.000124	
GCA_020027345_OTU1_fl__2065_JAHRAH010000137.1_10098_11789_-_gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__2100_JAHRAH010000017.1_17887_19476___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_020027345_OTU1_fl__2112_JAHRAH010000103.1_284_8275___gene_type_bacteria	SP	0.000178	0.999238	0.000152	0.000168	0.000131	0.000131	CS pos: 29-30. Pr: 0.9757
GCA_913061275_OTU4_fl__208_CAJXSR010000001.1_207427_208332___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GCA_913061275_OTU4_fl__613_CAJXSR010000003.1_64975_66666_-_gene_type_bacteria	SP	0.000252	0.998999	0.000215	0.000219	0.000173	0.000167	CS pos: 24-25. Pr: 0.9766
GCA_913061275_OTU4_fl__1150_CAJXSR010000007.1_8625_9962_-_gene_type_bacteria	LIPO	0.000000	0.000001	1.000000	0.000000	0.000000	0.000000	CS pos: 23-24. Pr: 0.9937
GCA_913061275_OTU4_fl__1291_CAJXSR010000008.1_16196_16789___gene_type_bacteria	LIPO	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9977
GCA_913061275_OTU4_fl__1299_CAJXSR010000008.1_25944_26783_-_gene_type_bacteria	SP	0.000192	0.999186	0.000168	0.000167	0.000142	0.000135	CS pos: 26-27. Pr: 0.9401
GCA_913061275_OTU4_fl__1462_CAJXSR010000009.1_63054_64301_-_gene_type_bacteria	SP	0.000217	0.999158	0.000184	0.000178	0.000143	0.000144	CS pos: 22-23. Pr: 0.9783
GCA_913061275_OTU4_fl__1542_CAJXSR010000010.1_27580_28917___gene_type_bacteria	OTHER	1.000000	0.000001	0.000000	0.000000	0.000000	0.000000	
GCA_913061275_OTU4_fl__1739_CAJXSR010000012.1_16129_16659_-_gene_type_bacteria	SP	0.000165	0.666133	0.333455	0.000103	0.000090	0.000082	CS pos: 25-26. Pr: 0.6530
GCA_913061275_OTU4_fl__1953_CAJXSR010000014.1_48498_50801___gene_type_bacteria	SP	0.000262	0.999047	0.000196	0.000189	0.000149	0.000144	CS pos: 34-35. Pr: 0.9789
GCA_913061275_OTU4_fl__1957_CAJXSR010000014.1_53723_55189___gene_type_bacteria	SP	0.000185	0.999232	0.000159	0.000166	0.000134	0.000129	CS pos: 27-28. Pr: 0.9749
GCA_913061275_OTU4_fl__2004_CAJXSR010000015.1_13802_15247___gene_type_bacteria	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
